ParticipantID,ScenarioMode,Date & Time
0,Baseline,06-03-2025

Current Time,CurrentPower,CurrentCadence,CurrentSpeed,CurrentHeartRate
06-03-2025 16:18:36,198,84.5,18.53,0
06-03-2025 16:18:37,198,81.5,18.52,0
06-03-2025 16:18:38,225,81.5,19.54,0
06-03-2025 16:18:39,225,81.5,19.5,0
06-03-2025 16:18:40,210,81.5,19.3,0
06-03-2025 16:18:41,188,82,18.92,0
06-03-2025 16:18:42,186,81,18.11,0
06-03-2025 16:18:43,211,81,18.6,0
06-03-2025 16:18:44,178,81,18.83,0
06-03-2025 16:18:45,182,79.5,17.9,0
06-03-2025 16:18:46,204,81,19.56,0
06-03-2025 16:18:47,204,81,18.81,0
06-03-2025 16:18:48,202,81.5,18.64,0
06-03-2025 16:18:49,200,82.5,19,0
06-03-2025 16:18:50,200,82.5,18.61,0
06-03-2025 16:18:51,192,83,18.36,0
06-03-2025 16:18:52,186,83.5,18.43,0
06-03-2025 16:18:53,184,82.5,17.93,0
06-03-2025 16:18:54,204,83,18.98,0
06-03-2025 16:18:55,197,83.5,18.75,0
06-03-2025 16:18:56,175,83,17.8,0
06-03-2025 16:18:57,198,84,19.15,0
06-03-2025 16:18:58,212,84,18.73,0
06-03-2025 16:18:59,218,84.5,19.17,0
06-03-2025 16:19:00,165,84,17.77,0
06-03-2025 16:19:01,174,83,17.66,0
06-03-2025 16:19:02,206,82.5,18.85,0
06-03-2025 16:19:03,189,82,18.64,0
06-03-2025 16:19:04,237,82,19.74,0
06-03-2025 16:19:05,202,82.5,19.09,0
06-03-2025 16:19:06,221,83.5,19.16,0
06-03-2025 16:19:07,199,84.5,18.76,0
06-03-2025 16:19:08,189,84.5,18.43,0
06-03-2025 16:19:09,180,84.5,17.92,0
06-03-2025 16:19:10,200,83.5,18.19,0
06-03-2025 16:19:11,210,83.5,18.96,0
06-03-2025 16:19:12,212,84,18.88,0
06-03-2025 16:19:13,210,84.5,19,0
06-03-2025 16:19:14,206,84.5,18.82,0
06-03-2025 16:19:15,191,85.5,18.51,0
06-03-2025 16:19:16,198,85,18.58,0
06-03-2025 16:19:17,184,86,18.5,0
06-03-2025 16:19:18,204,86,18.24,0
06-03-2025 16:19:19,222,85.5,18.46,0
06-03-2025 16:19:20,223,86,19.32,0
06-03-2025 16:19:21,219,87,19.22,0
06-03-2025 16:19:22,188,87.5,18.47,0
06-03-2025 16:19:23,173,87.5,17.46,0
06-03-2025 16:19:24,213,88.5,19.25,0
06-03-2025 16:19:25,203,89,18.82,0
06-03-2025 16:19:26,198,90,18.49,0
06-03-2025 16:19:27,90,90,13.51,0
06-03-2025 16:19:28,115,90.5,14.56,0
06-03-2025 16:19:29,97,90.5,13.68,0
06-03-2025 16:19:30,86,89.5,12.83,0
06-03-2025 16:19:31,98,87.5,13.84,0
06-03-2025 16:19:32,98,87.5,13.9,0

Averages:
Average Power,189.07
Average Cadence,84.32
Average Speed,18.16
Average Heart Rate,0
Average Power to Weight Ratio (P/W),N/A

Performance Metrics:
Functional Threshold Power (FTP),0
Heart Rate Recovery (HRR),0
Efficiency Factor (EF),Infinity
Peak Power Output (PPO),237
Maximum Heart Rate,0
Total Work Done,614289
