ParticipantID,ScenarioMode,Date & Time
0,Competitive,05-03-2025

Current Time,CurrentPower,CurrentCadence,CurrentSpeed,CurrentHeartRate
05-03-2025 17:03:16,233,79,19.72,0
05-03-2025 17:03:17,231,80.5,18.81,0
05-03-2025 17:03:18,189,80.5,18.28,0
05-03-2025 17:03:19,218,80.5,18.32,0
05-03-2025 17:03:20,202,81.5,19.07,0
05-03-2025 17:03:21,186,81.5,18.17,0
05-03-2025 17:03:22,188,81,18.51,0
05-03-2025 17:03:23,188,81,18.11,0
05-03-2025 17:03:24,182,81.5,18.55,0
05-03-2025 17:03:25,204,81,18.09,0
05-03-2025 17:03:26,187,81,18.15,0
05-03-2025 17:03:27,204,81,18.73,0
05-03-2025 17:03:28,212,81,18.85,0
05-03-2025 17:03:29,211,81.5,19,0
05-03-2025 17:03:30,202,82,18.64,0
05-03-2025 17:03:31,196,82,18.52,0
05-03-2025 17:03:32,188,82,18.12,0
05-03-2025 17:03:33,215,82,18.81,0
05-03-2025 17:03:34,183,82.5,18.66,0
05-03-2025 17:03:35,207,82,18.74,0
05-03-2025 17:03:36,198,82,18.4,0
05-03-2025 17:03:37,192,82,18.32,0
05-03-2025 17:03:38,211,81.5,18.26,0
05-03-2025 17:03:39,208,82,18.9,0
05-03-2025 17:03:40,201,82,18.61,0
05-03-2025 17:03:41,196,82,18.45,0
05-03-2025 17:03:42,214,82.5,18.63,0
05-03-2025 17:03:43,205,83,18.81,0
05-03-2025 17:03:44,190,82.5,18.16,0
05-03-2025 17:03:45,178,82.5,17.74,0
05-03-2025 17:03:46,205,82.5,18.91,0
05-03-2025 17:03:47,184,82.5,18.28,0
05-03-2025 17:03:48,215,82,18.92,0
05-03-2025 17:03:49,182,82,18.26,0
05-03-2025 17:03:50,208,82,18.33,0
05-03-2025 17:03:51,180,81.5,17.99,0
05-03-2025 17:03:52,219,81.5,18.74,0
05-03-2025 17:03:53,211,82,19.07,0
05-03-2025 17:03:54,193,82,18.35,0
05-03-2025 17:03:55,199,82,18.66,0
05-03-2025 17:03:56,193,82,18.32,0
05-03-2025 17:03:57,193,82,18.46,0
05-03-2025 17:03:58,196,81.5,18.3,0
05-03-2025 17:03:59,200,82,18.59,0
05-03-2025 17:04:00,186,81,18.18,0
05-03-2025 17:04:01,187,80.5,18.1,0
05-03-2025 17:04:02,187,80.5,18.1,0

Averages:
Average Power,199.09
Average Cadence,81.63
Average Speed,18.5
Average Heart Rate,0
Average Power to Weight Ratio (P/W),N/A

Performance Metrics:
Functional Threshold Power (FTP),0
Heart Rate Recovery (HRR),0
Efficiency Factor (EF),Infinity
Peak Power Output (PPO),233
Maximum Heart Rate,0
Total Work Done,439779
