ParticipantID,ScenarioMode,Date & Time
0,Cooperative,11-03-2025

Current Time,CurrentPower,CurrentCadence,CurrentSpeed,CurrentHeartRate
11-03-2025 13:37:14,193,80,17.73,0
11-03-2025 13:37:15,193,80,15.84,0
11-03-2025 13:37:16,216,79.5,19.67,0
11-03-2025 13:37:17,195,80,19.51,0
11-03-2025 13:37:18,222,80,18.54,0
11-03-2025 13:37:19,191,80.5,18.39,0
11-03-2025 13:37:20,0,0,15.41,0
11-03-2025 13:37:21,26,25.5,18.98,0
11-03-2025 13:37:22,170,73.5,17.61,0
11-03-2025 13:37:23,139,79.5,18.51,0
11-03-2025 13:37:24,70,83.5,17.11,0
11-03-2025 13:37:25,80,85.5,19.3,0
11-03-2025 13:37:26,111,89.5,18.64,0
11-03-2025 13:37:27,93,91.5,17.42,0
11-03-2025 13:37:28,109,94.5,19.13,0
11-03-2025 13:37:29,62,94.5,16.89,0
11-03-2025 13:37:30,104,88,19.39,0
11-03-2025 13:37:31,158,84,19.27,0
11-03-2025 13:37:32,243,81,19.8,0
11-03-2025 13:37:33,246,77.5,19.61,0
11-03-2025 13:37:34,241,77,20.03,0
11-03-2025 13:37:35,220,77,19.25,0
11-03-2025 13:37:36,218,77.5,19.09,0
11-03-2025 13:37:37,196,77.5,18.9,0
11-03-2025 13:37:38,199,77.5,18.59,0
11-03-2025 13:37:39,190,77.5,18.4,0
11-03-2025 13:37:40,229,77.5,18.69,0
11-03-2025 13:37:41,207,78.5,19.42,0
11-03-2025 13:37:42,194,79,18.35,0
11-03-2025 13:37:43,200,78.5,18.08,0
11-03-2025 13:37:44,209,78.5,18.66,0
11-03-2025 13:37:45,207,79,18.8,0
11-03-2025 13:37:46,202,80,18.72,0
11-03-2025 13:37:47,190,79.5,18.44,0
11-03-2025 13:37:48,189,79.5,18.11,0
11-03-2025 13:37:49,208,79,18.38,0
11-03-2025 13:37:50,233,80,19.12,0
11-03-2025 13:37:51,194,80.5,18.42,0
11-03-2025 13:37:52,196,81,18.64,0
11-03-2025 13:37:53,177,81,18.08,0
11-03-2025 13:37:54,189,80,19.95,0
11-03-2025 13:37:55,210,79.5,16.22,0
11-03-2025 13:37:56,196,79.5,19.96,0
11-03-2025 13:37:57,188,79.5,18.14,0
11-03-2025 13:37:58,188,79.5,18.1,0

Averages:
Average Power,175.36
Average Cadence,77.81
Average Speed,18.52
Average Heart Rate,0
Average Power to Weight Ratio (P/W),N/A

Performance Metrics:
Functional Threshold Power (FTP),0
Heart Rate Recovery (HRR),0
Efficiency Factor (EF),Infinity
Peak Power Output (PPO),246
Maximum Heart Rate,0
Total Work Done,355095
