ParticipantID,ScenarioMode,Date & Time
13,Competitive,21-04-2025

Current Time,CurrentPower,CurrentCadence,CurrentSpeed,CurrentHeartRate
21-04-2025 12:42:39,100,84,13.9,116
21-04-2025 12:42:40,100,84,13.9,117
21-04-2025 12:42:41,102,91,14.1,119
21-04-2025 12:42:42,67,93,11.6,119
21-04-2025 12:42:43,62,95,11.2,117
21-04-2025 12:42:44,91,97.5,13.4,115
21-04-2025 12:42:45,73,98,12.1,112
21-04-2025 12:42:46,77,99,12.3,112
21-04-2025 12:42:47,77,99,12.3,112
21-04-2025 12:42:48,99,100.5,13.9,111
21-04-2025 12:42:49,54,101.5,10.5,111
21-04-2025 12:42:50,81,102,12.8,110
21-04-2025 12:42:51,71,102,11.9,111
21-04-2025 12:42:52,58,102,10.7,112
21-04-2025 12:42:53,58,102,10.7,113
21-04-2025 12:42:54,67,104,11.6,114
21-04-2025 12:42:55,74,104,12.1,116
21-04-2025 12:42:56,74,104,12.1,117
21-04-2025 12:42:57,65,103,11.4,118
21-04-2025 12:42:58,69,102,11.9,119
21-04-2025 12:42:59,69,102,11.9,120
21-04-2025 12:43:00,109,100,14.5,122
21-04-2025 12:43:01,110,100,14.5,123
21-04-2025 12:43:02,110,100,14.5,125
21-04-2025 12:43:03,83,99.5,12.8,125
21-04-2025 12:43:04,107,99.5,14.3,127
21-04-2025 12:43:05,107,99.5,14.3,128
21-04-2025 12:43:06,97,99.5,13.6,128
21-04-2025 12:43:07,87,99.5,13.2,129
21-04-2025 12:43:08,87,99.5,13.2,129
21-04-2025 12:43:09,96,99,13.6,129
21-04-2025 12:43:10,113,100.5,14.8,130
21-04-2025 12:43:11,113,100.5,14.8,131
21-04-2025 12:43:12,87,102,13.2,131
21-04-2025 12:43:13,94,103,13.6,131
21-04-2025 12:43:14,94,103,13.6,131
21-04-2025 12:43:15,83,103.5,12.8,131
21-04-2025 12:43:16,83,104.5,12.8,131
21-04-2025 12:43:17,83,104.5,12.8,132
21-04-2025 12:43:18,86,105,13,132
21-04-2025 12:43:19,77,105.5,12.3,133
21-04-2025 12:43:20,72,105.5,12.1,134
21-04-2025 12:43:21,114,106,14.8,135
21-04-2025 12:43:22,100,108,13.9,135
21-04-2025 12:43:24,100,108,13.9,135
21-04-2025 12:43:25,81,108.5,12.8,135
21-04-2025 12:43:26,60,108.5,11,134
21-04-2025 12:43:27,60,108.5,11,134
21-04-2025 12:43:28,101,108.5,14.1,134
21-04-2025 12:43:29,90,110.5,13.2,134
21-04-2025 12:43:30,90,110.5,13.2,135
21-04-2025 12:43:31,87,110.5,13.2,135
21-04-2025 12:43:32,77,109,12.3,136
21-04-2025 12:43:33,77,109,12.3,136
21-04-2025 12:43:34,93,107.5,13.4,137
21-04-2025 12:43:35,152,108.5,16.6,137
21-04-2025 12:43:36,152,108.5,16.6,138
21-04-2025 12:43:37,79,109.5,12.5,138
21-04-2025 12:43:38,103,109.5,14.1,139
21-04-2025 12:43:39,103,109.5,14.1,140
21-04-2025 12:43:40,80,109,12.5,140
21-04-2025 12:43:41,75,107,12.3,141
21-04-2025 12:43:42,75,107,12.3,141
21-04-2025 12:43:43,112,106,14.5,142
21-04-2025 12:43:44,119,106,15,142
21-04-2025 12:43:45,119,106,15,142
21-04-2025 12:43:46,106,107.5,14.3,142
21-04-2025 12:43:47,98,107.5,13.9,143
21-04-2025 12:43:48,106,107.5,14.3,143
21-04-2025 12:43:49,82,107.5,12.8,144
21-04-2025 12:43:50,82,107.5,12.8,144
21-04-2025 12:43:51,80,106.5,12.5,145
21-04-2025 12:43:52,89,105.5,13.2,145
21-04-2025 12:43:53,131,106,15.7,146
21-04-2025 12:43:54,131,106,15.7,146
21-04-2025 12:43:55,102,107.5,14.1,146
21-04-2025 12:43:56,103,108,14.1,146
21-04-2025 12:43:57,103,108,14.1,145
21-04-2025 12:43:58,103,109,14.1,144
21-04-2025 12:43:59,95,109,13.6,144
21-04-2025 12:44:00,95,109,13.6,143
21-04-2025 12:44:01,80,108,12.5,143
21-04-2025 12:44:02,109,107.5,14.5,143
21-04-2025 12:44:03,130,107.5,15.7,143
21-04-2025 12:44:04,95,108,13.6,142
21-04-2025 12:44:05,95,108,13.6,142
21-04-2025 12:44:06,100,107,13.9,143
21-04-2025 12:44:07,112,107,14.5,143
21-04-2025 12:44:08,108,106.5,14.3,144
21-04-2025 12:44:09,108,106.5,14.3,145
21-04-2025 12:44:10,107,108,14.3,146
21-04-2025 12:44:11,85,107.5,13,147
21-04-2025 12:44:12,85,107.5,13,147
21-04-2025 12:44:13,91,107.5,13.4,147
21-04-2025 12:44:14,90,106.5,13.2,147
21-04-2025 12:44:15,90,106.5,13.2,147
21-04-2025 12:44:16,110,106,14.5,146
21-04-2025 12:44:17,103,106.5,14.1,146
21-04-2025 12:44:18,90,106.5,13.2,147
21-04-2025 12:44:19,105,106.5,14.3,147
21-04-2025 12:44:20,105,106.5,14.3,148
21-04-2025 12:44:21,104,107,14.1,148
21-04-2025 12:44:22,107,107.5,14.3,149
21-04-2025 12:44:23,107,107.5,14.3,149
21-04-2025 12:44:24,90,107,13.2,149
21-04-2025 12:44:25,107,107,14.3,149
21-04-2025 12:44:26,95,107,13.6,149
21-04-2025 12:44:27,95,107,13.6,149
21-04-2025 12:44:28,95,106,13.6,148
21-04-2025 12:44:29,110,106,14.5,148
21-04-2025 12:44:30,110,106,14.5,148
21-04-2025 12:44:31,123,106,15.2,148
21-04-2025 12:44:32,123,106,15.2,149
21-04-2025 12:44:33,123,106,15.2,149
