ParticipantID,ScenarioMode,Date & Time
5,Baseline,05-04-2025

Current Time,CurrentPower,CurrentCadence,CurrentSpeed,CurrentHeartRate
05-04-2025 20:25:02,70,82,11.9,93
05-04-2025 20:25:03,84,83,13,93
05-04-2025 20:25:04,51,82.5,10.1,93
05-04-2025 20:25:05,51,82.5,10.1,93
05-04-2025 20:25:06,63,80.5,11.2,95
05-04-2025 20:25:07,67,79,11.6,96
05-04-2025 20:25:08,105,78,14.3,97
05-04-2025 20:25:09,97,79,13.6,98
05-04-2025 20:25:10,82,78.5,12.8,99
05-04-2025 20:25:11,82,78.5,12.8,99
05-04-2025 20:25:12,86,78,13,99
05-04-2025 20:25:13,64,78,11.4,101
05-04-2025 20:25:14,71,75.5,11.9,101
05-04-2025 20:25:15,98,75,13.9,100
05-04-2025 20:25:16,98,75,13.9,99
05-04-2025 20:25:17,116,76.5,14.8,98
05-04-2025 20:25:18,107,77,14.3,99
05-04-2025 20:25:19,76,78.5,12.3,99
05-04-2025 20:25:20,76,78.5,12.3,99
05-04-2025 20:25:21,61,77.5,11.2,100
05-04-2025 20:25:22,86,75.5,13,100
05-04-2025 20:25:23,86,75.5,13,100
05-04-2025 20:25:24,108,77,14.3,100
05-04-2025 20:25:25,85,78,13,100
05-04-2025 20:25:26,85,78,13,100
05-04-2025 20:25:27,87,79,13.2,100
05-04-2025 20:25:28,64,78.5,11.4,101
05-04-2025 20:25:29,64,78.5,11.4,101
05-04-2025 20:25:30,77,77,12.3,102
05-04-2025 20:25:31,89,77,13.2,102
05-04-2025 20:25:32,89,77,13.2,102
05-04-2025 20:25:33,76,76,12.3,103
05-04-2025 20:25:34,67,75,11.6,104
05-04-2025 20:25:35,67,75,11.6,104
05-04-2025 20:25:36,80,73,12.5,105
05-04-2025 20:25:37,88,72,13.2,107
05-04-2025 20:25:38,97,72,13.6,107
05-04-2025 20:25:39,97,72,13.6,106
05-04-2025 20:25:40,85,71.5,13,106
05-04-2025 20:25:41,85,71,13,106
05-04-2025 20:25:42,85,71,13,106
05-04-2025 20:25:43,93,70.5,13.4,106
05-04-2025 20:25:44,93,70.5,13.4,106
05-04-2025 20:25:45,108,72,14.3,106
05-04-2025 20:25:46,107,74.5,14.3,107
05-04-2025 20:25:47,107,74.5,14.3,107
05-04-2025 20:25:48,74,76.5,12.1,107
05-04-2025 20:25:49,62,76,11.2,108
05-04-2025 20:25:50,56,75.5,10.7,108
05-04-2025 20:25:51,80,75,12.5,108
05-04-2025 20:25:52,83,75,12.8,107
05-04-2025 20:25:53,83,75,12.8,107
05-04-2025 20:25:54,82,74,12.8,107
05-04-2025 20:25:56,93,73.5,13.4,108
05-04-2025 20:25:57,107,73,14.3,109
05-04-2025 20:25:58,89,73,13.2,109
05-04-2025 20:25:59,89,73,13.2,110
05-04-2025 20:26:00,71,71.5,11.9,110
05-04-2025 20:26:01,120,71.5,15,110
05-04-2025 20:26:02,101,71,14.1,110
05-04-2025 20:26:03,71,70,11.9,110
05-04-2025 20:26:04,71,70,11.9,110
05-04-2025 20:26:05,126,69.5,15.4,110
05-04-2025 20:26:06,115,70.5,14.8,110
05-04-2025 20:26:07,99,70.5,13.9,110
05-04-2025 20:26:08,120,71,15,109
05-04-2025 20:26:09,120,71,15,110
05-04-2025 20:26:10,101,73,14.1,110
05-04-2025 20:26:11,93,73.5,13.4,110
05-04-2025 20:26:12,93,73.5,13.4,111
05-04-2025 20:26:13,88,73,13.2,112
05-04-2025 20:26:14,94,72,13.6,111
05-04-2025 20:26:15,94,72,13.6,112
05-04-2025 20:26:16,89,71.5,13.2,112
05-04-2025 20:26:17,101,71,14.1,112
05-04-2025 20:26:18,95,70.5,13.6,112
05-04-2025 20:26:19,86,70,13,113
05-04-2025 20:26:20,111,69,14.5,113
05-04-2025 20:26:21,111,69,14.5,113
05-04-2025 20:26:22,115,69.5,14.8,113
05-04-2025 20:26:23,107,70.5,14.3,113
05-04-2025 20:26:24,107,70.5,14.3,113
05-04-2025 20:26:25,103,71,14.1,113
05-04-2025 20:26:26,103,71,14.1,114
05-04-2025 20:26:27,100,71.5,13.9,114
05-04-2025 20:26:28,100,71.5,13.9,114
05-04-2025 20:26:29,93,70.5,13.4,115
05-04-2025 20:26:30,96,70,13.6,115
05-04-2025 20:26:31,107,70,14.3,116
05-04-2025 20:26:32,108,70.5,14.3,117
05-04-2025 20:26:33,108,70.5,14.3,117
05-04-2025 20:26:34,106,71,14.3,118
05-04-2025 20:26:35,81,70.5,12.8,118
05-04-2025 20:26:36,81,70.5,12.8,118
05-04-2025 20:26:37,96,68.5,13.6,118
05-04-2025 20:26:38,102,67.5,14.1,119
05-04-2025 20:26:39,102,67.5,14.1,120
05-04-2025 20:26:40,102,67.5,14.1,120
05-04-2025 20:26:41,115,67.5,14.8,122
05-04-2025 20:26:42,115,67.5,14.8,122
05-04-2025 20:26:43,110,68.5,14.5,122
05-04-2025 20:26:44,103,69,14.1,123
05-04-2025 20:26:45,103,69,14.1,123
05-04-2025 20:26:46,104,69,14.1,123
05-04-2025 20:26:47,107,70,14.3,123
05-04-2025 20:26:48,107,70,14.3,123
05-04-2025 20:26:49,96,70.5,13.6,123
05-04-2025 20:26:50,95,70.5,13.6,123
05-04-2025 20:26:51,95,70.5,13.6,123
05-04-2025 20:26:52,93,70,13.4,123
05-04-2025 20:26:53,101,70,14.1,122
05-04-2025 20:26:54,93,69,13.4,122
05-04-2025 20:26:55,99,67.5,13.9,122
05-04-2025 20:26:56,124,67,15.2,121
05-04-2025 20:26:57,124,67,15.2,121
05-04-2025 20:26:58,113,66,14.8,121
05-04-2025 20:26:59,77,64,12.3,121
05-04-2025 20:27:00,77,64,12.3,121
05-04-2025 20:27:01,85,61,13,121
05-04-2025 20:27:02,162,60.5,17,120
05-04-2025 20:27:03,162,60.5,17,120
05-04-2025 20:27:04,149,62,16.6,120
05-04-2025 20:27:05,88,59.5,13.2,120
05-04-2025 20:27:06,88,59.5,13.2,120
05-04-2025 20:27:07,97,57.5,13.6,120
05-04-2025 20:27:08,137,56.5,15.9,121
05-04-2025 20:27:09,142,58.5,16.1,121
