ParticipantID,ScenarioMode,Date & Time
9,Cooperative,14-04-2025

Current Time,CurrentPower,CurrentCadence,CurrentSpeed,CurrentHeartRate
14-04-2025 11:43:44,58,82,10.7,118
14-04-2025 11:43:45,57,83.5,10.7,119
14-04-2025 11:43:46,63,85.5,11.2,119
14-04-2025 11:43:47,73,90,12.1,119
14-04-2025 11:43:48,73,90,12.1,120
14-04-2025 11:43:49,18,88,5.6,119
14-04-2025 11:43:50,14,85.5,4.7,119
14-04-2025 11:43:51,14,85.5,4.7,118
14-04-2025 11:43:52,13,86.5,4.3,118
14-04-2025 11:43:53,58,86,10.7,117
14-04-2025 11:43:54,72,88,12.1,117
14-04-2025 11:43:55,72,88,12.1,117
14-04-2025 11:43:56,24,87.5,6.7,118
14-04-2025 11:43:57,94,89,13.6,118
14-04-2025 11:43:58,94,89,13.6,119
14-04-2025 11:43:59,58,92,10.7,119
14-04-2025 11:44:00,43,92.5,9.4,120
14-04-2025 11:44:01,43,92.5,9.4,121
14-04-2025 11:44:02,66,91.5,11.6,122
14-04-2025 11:44:03,42,93,9.2,124
14-04-2025 11:44:04,23,90,6.5,126
14-04-2025 11:44:05,23,90,6.5,127
14-04-2025 11:44:06,21,83,6,128
14-04-2025 11:44:07,38,90,8.7,130
14-04-2025 11:44:08,61,88.5,11.2,130
14-04-2025 11:44:09,74,87,12.1,129
14-04-2025 11:44:10,74,87,12.1,128
14-04-2025 11:44:11,86,87,13,127
14-04-2025 11:44:12,76,86.5,12.3,125
14-04-2025 11:44:13,76,86.5,12.3,124
14-04-2025 11:44:14,94,86,13.6,123
14-04-2025 11:44:15,73,86.5,12.1,123
14-04-2025 11:44:16,73,86.5,12.1,123
14-04-2025 11:44:17,83,87.5,12.8,124
14-04-2025 11:44:18,80,88,12.5,124
14-04-2025 11:44:19,57,87.5,10.7,124
14-04-2025 11:44:20,46,86.5,9.6,124
14-04-2025 11:44:21,46,86.5,9.6,125
14-04-2025 11:44:22,71,86.5,11.9,125
14-04-2025 11:44:23,44,84,9.4,125
14-04-2025 11:44:24,49,82.5,10.1,125
14-04-2025 11:44:25,49,82.5,10.1,125
14-04-2025 11:44:26,126,83,15.4,126
14-04-2025 11:44:27,103,87.5,14.1,126
14-04-2025 11:44:28,103,87.5,14.1,126
